time	V(n001)	V(n003)	I(R1)
6.750100000000000e-04	2.400000e+01	1.204572e+01	2.007620e+00
6.750186250000000e-04	2.400000e+01	1.204613e+01	2.007689e+00
6.750191250000001e-04	2.400000e+01	1.204616e+01	2.007693e+00
6.750200000000000e-04	2.400000e+01	1.204620e+01	2.007700e+00
6.757368082030143e-04	2.400000e+01	1.207386e+01	2.012310e+00
6.764536082029034e-04	2.400000e+01	1.209008e+01	2.015013e+00
6.774301707029034e-04	2.400000e+01	1.209752e+01	2.016253e+00
6.784067332029034e-04	2.400000e+01	1.208943e+01	2.014905e+00
6.786343427453444e-04	2.400000e+01	1.208559e+01	2.014266e+00
6.788619522877852e-04	2.400000e+01	1.208060e+01	2.013434e+00
6.790895618302261e-04	2.400000e+01	1.207446e+01	2.012410e+00
6.793171713726671e-04	2.400000e+01	1.206717e+01	2.011195e+00
6.795447809151080e-04	2.400000e+01	1.205872e+01	2.009787e+00
6.797723904575488e-04	2.400000e+01	1.204912e+01	2.008187e+00
6.799999999999897e-04	2.400000e+01	1.203838e+01	2.006396e+00
6.800000427462305e-04	2.400000e+01	1.203837e+01	2.006396e+00
6.800000854924815e-04	2.400000e+01	1.203837e+01	2.006395e+00
6.800001709849835e-04	2.400000e+01	1.203837e+01	2.006395e+00
6.800003419699874e-04	2.400000e+01	1.203836e+01	2.006393e+00
6.800006839399953e-04	2.400000e+01	1.203834e+01	2.006390e+00
6.800013678800110e-04	2.400000e+01	1.203831e+01	2.006385e+00
6.800100000000000e-04	2.400000e+01	1.203790e+01	2.006316e+00
6.802749160738322e-04	2.400000e+01	1.202644e+01	2.004407e+00
6.805398321476642e-04	2.400000e+01	1.201648e+01	2.002746e+00
6.808047482214964e-04	2.400000e+01	1.200800e+01	2.001334e+00
6.810696642953285e-04	2.400000e+01	1.200102e+01	2.000170e+00
6.813345803691606e-04	2.400000e+01	1.199553e+01	1.999256e+00
6.815994964429927e-04	2.400000e+01	1.199154e+01	1.998589e+00
6.818644125168249e-04	2.400000e+01	1.198903e+01	1.998172e+00
6.828409750168249e-04	2.400000e+01	1.198841e+01	1.998068e+00
6.838175375168249e-04	2.400000e+01	1.200218e+01	2.000363e+00
6.839878893001356e-04	2.400000e+01	1.200668e+01	2.001113e+00
6.841582410834463e-04	2.400000e+01	1.201175e+01	2.001959e+00
6.843285928667571e-04	2.400000e+01	1.201740e+01	2.002901e+00
6.844989446500678e-04	2.400000e+01	1.202363e+01	2.003938e+00
6.846692964333785e-04	2.400000e+01	1.203043e+01	2.005071e+00
6.848396482166892e-04	2.400000e+01	1.203780e+01	2.006300e+00
6.850100000000000e-04	2.400000e+01	1.204574e+01	2.007624e+00
6.850186866713997e-04	2.400000e+01	1.204616e+01	2.007693e+00
6.850191642454362e-04	2.400000e+01	1.204618e+01	2.007697e+00
6.850200000000001e-04	2.400000e+01	1.204622e+01	2.007704e+00
6.853551243732076e-04	2.400000e+01	1.206033e+01	2.010056e+00
6.856902487464153e-04	2.400000e+01	1.207219e+01	2.012031e+00
6.860253731196228e-04	2.400000e+01	1.208178e+01	2.013630e+00
6.863604974928305e-04	2.400000e+01	1.208911e+01	2.014851e+00
6.866956218660380e-04	2.400000e+01	1.209417e+01	2.015696e+00
6.870307462392457e-04	2.400000e+01	1.209698e+01	2.016164e+00
6.873658706124532e-04	2.400000e+01	1.209753e+01	2.016255e+00
6.883424331124532e-04	2.400000e+01	1.209034e+01	2.015057e+00
6.885792283821014e-04	2.400000e+01	1.208666e+01	2.014443e+00
6.888160236517494e-04	2.400000e+01	1.208173e+01	2.013621e+00
6.890528189213975e-04	2.400000e+01	1.207555e+01	2.012591e+00
6.892896141910455e-04	2.400000e+01	1.206812e+01	2.011354e+00
6.895264094606936e-04	2.400000e+01	1.205945e+01	2.009909e+00
6.897632047303417e-04	2.400000e+01	1.204954e+01	2.008256e+00
6.899999999999898e-04	2.400000e+01	1.203838e+01	2.006396e+00
6.900000427462306e-04	2.400000e+01	1.203837e+01	2.006396e+00
6.900000854924816e-04	2.400000e+01	1.203837e+01	2.006396e+00
6.900001709849835e-04	2.400000e+01	1.203837e+01	2.006395e+00
6.900003419699875e-04	2.400000e+01	1.203836e+01	2.006393e+00
6.900006839399953e-04	2.400000e+01	1.203834e+01	2.006391e+00
6.900013678800111e-04	2.400000e+01	1.203831e+01	2.006385e+00
6.900100000000000e-04	2.400000e+01	1.203790e+01	2.006316e+00
6.902749160738322e-04	2.400000e+01	1.202644e+01	2.004407e+00
6.905398321476642e-04	2.400000e+01	1.201647e+01	2.002746e+00
6.908047482214964e-04	2.400000e+01	1.200800e+01	2.001333e+00
6.910696642953285e-04	2.400000e+01	1.200102e+01	2.000170e+00
6.913345803691607e-04	2.400000e+01	1.199553e+01	1.999255e+00
